subscriber_id,msisdn,customer_type,segment,status,activation_date,deactivation_date,country,region,city
SUB_0000021,79516681609,B2C_prepaid,Mass,ACTIVE,2024-05-06,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000022,79648775594,B2B,Mass,ACTIVE,2026-06-26,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000023,79125292227,B2C_prepaid,Mass,SUSPENDED,2025-01-11,,Russia,Krasnodar Krai,Krasnodar
SUB_0000024,79337109096,B2C_prepaid,Youth,ACTIVE,2025-01-06,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000025,79720922134,B2C_prepaid,Youth,SUSPENDED,2024-05-19,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000026,79722076278,B2B,Mass,ACTIVE,2024-06-25,,Russia,Moscow,Moscow
SUB_0000027,79178202693,B2C_postpaid,Mass,ACTIVE,2024-03-31,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000028,79114217757,B2C_postpaid,Mass,ACTIVE,2025-11-22,,Russia,Moscow,Moscow
SUB_0000029,79113222793,B2C_prepaid,Youth,ACTIVE,2024-10-26,2025-02-23,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000030,79698766932,B2B,Business,ACTIVE,2026-11-22,,Russia,Krasnodar Krai,Krasnodar
SUB_0000031,79887657553,B2C_prepaid,Premium,ACTIVE,2026-05-01,,Russia,Krasnodar Krai,Krasnodar
SUB_0000032,79846748401,B2C_postpaid,Mass,ACTIVE,2025-03-23,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000033,79750309909,B2C_prepaid,Mass,ACTIVE,2025-11-07,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000034,79936656315,B2C_postpaid,Mass,ACTIVE,2023-07-08,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000035,79558232971,B2C_prepaid,Premium,ACTIVE,2023-08-02,,Russia,Moscow,Moscow
SUB_0000036,79468204577,B2B,Mass,ACTIVE,2026-09-22,,Russia,Krasnodar Krai,Krasnodar
SUB_0000037,79895425571,B2C_postpaid,Youth,ACTIVE,2025-06-05,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000038,79421522814,B2C_prepaid,Mass,ACTIVE,2026-06-20,2026-12-21,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000039,79043580360,B2C_postpaid,Mass,ACTIVE,2026-08-18,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000040,79921777967,B2C_prepaid,Mass,ACTIVE,2025-01-30,,Russia,Krasnodar Krai,Krasnodar
SUB_0000041,79384877323,B2C_postpaid,Mass,ACTIVE,2023-08-03,,Russia,Krasnodar Krai,Krasnodar
SUB_0000042,79125259374,B2C_postpaid,Youth,ACTIVE,2025-06-21,2026-08-23,Russia,Krasnodar Krai,Krasnodar
SUB_0000043,79899580800,B2C_postpaid,Mass,ACTIVE,2024-05-05,2025-03-19,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000044,79699605407,B2C_prepaid,Mass,ACTIVE,2025-11-28,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000045,79526237094,B2C_postpaid,Mass,ACTIVE,2023-12-13,,Russia,Moscow,Moscow
SUB_0000046,79346708639,B2C_postpaid,Business,SUSPENDED,2024-10-13,,Russia,Krasnodar Krai,Krasnodar
SUB_0000047,79962561802,B2C_postpaid,Mass,ACTIVE,2023-12-05,,Russia,Krasnodar Krai,Krasnodar
SUB_0000048,79865377607,B2C_prepaid,Mass,ACTIVE,2023-12-03,,Russia,Krasnodar Krai,Krasnodar
SUB_0000049,79367425315,B2C_postpaid,Mass,ACTIVE,2024-11-16,,Russia,Moscow,Moscow
SUB_0000050,79767310332,B2C_prepaid,Mass,ACTIVE,2026-08-10,,Russia,Moscow,Moscow
SUB_0000051,79557804775,B2B,Business,ACTIVE,2025-08-18,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000052,79112273974,B2C_prepaid,Youth,ACTIVE,2023-07-14,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000053,79338891392,B2B,Mass,SUSPENDED,2025-02-16,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000054,79273919170,B2B,Youth,ACTIVE,2025-02-16,,Russia,Moscow,Moscow
SUB_0000055,79132143455,B2B,Mass,ACTIVE,2025-11-03,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000056,79261656693,B2C_prepaid,Premium,ACTIVE,2024-09-27,,Russia,Krasnodar Krai,Krasnodar
SUB_0000057,79375530149,B2B,Mass,ACTIVE,2025-03-30,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000058,79074007031,B2B,Premium,ACTIVE,2026-05-22,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000059,79924164061,B2C_prepaid,Mass,ACTIVE,2024-08-25,,Russia,Moscow,Moscow
SUB_0000060,79531164933,B2C_prepaid,Mass,ACTIVE,2026-01-23,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000061,79321313554,B2C_postpaid,Mass,SUSPENDED,2024-06-19,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000062,79340301895,B2C_postpaid,Mass,ACTIVE,2025-12-26,,Russia,Moscow,Moscow
SUB_0000063,79202275745,B2C_prepaid,Mass,ACTIVE,2025-07-21,,Russia,Moscow,Moscow
SUB_0000064,79918729438,B2B,Mass,ACTIVE,2024-10-28,,Russia,Krasnodar Krai,Krasnodar
SUB_0000065,79646788555,B2B,Mass,ACTIVE,2026-09-15,,Russia,Krasnodar Krai,Krasnodar
SUB_0000066,79740267113,B2C_postpaid,Mass,ACTIVE,2024-04-17,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000067,79077476844,B2C_postpaid,Mass,ACTIVE,2024-01-07,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000068,79739843251,B2C_postpaid,Premium,ACTIVE,2023-10-08,2024-10-22,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000069,79840926161,B2B,Business,ACTIVE,2024-11-24,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000070,79362670412,B2C_prepaid,Youth,ACTIVE,2024-03-03,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000071,79208132388,B2C_postpaid,Youth,ACTIVE,2026-08-27,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000072,79279642811,B2C_prepaid,Youth,ACTIVE,2024-04-12,,Russia,Moscow,Moscow
SUB_0000073,79667686355,B2C_prepaid,Youth,ACTIVE,2024-11-02,,Russia,Moscow,Moscow
SUB_0000074,79559991853,B2C_postpaid,Youth,SUSPENDED,2023-11-27,2024-02-29,Russia,Moscow,Moscow
SUB_0000075,79993277446,B2C_prepaid,Mass,ACTIVE,2023-12-09,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000076,79368606780,B2C_prepaid,Mass,ACTIVE,2026-11-28,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000077,79104358237,B2C_postpaid,Premium,ACTIVE,2023-08-30,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000078,79296450811,B2C_postpaid,Premium,ACTIVE,2024-02-22,,Russia,Krasnodar Krai,Krasnodar
SUB_0000079,79824319859,B2C_prepaid,Youth,ACTIVE,2025-10-30,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000080,79516025048,B2C_postpaid,Premium,ACTIVE,2023-12-24,,Russia,Moscow,Moscow
SUB_0000081,79536454719,B2C_prepaid,Premium,ACTIVE,2025-10-17,2026-09-19,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000082,79068715240,B2B,Business,ACTIVE,2024-10-17,,Russia,Krasnodar Krai,Krasnodar
SUB_0000083,79390018054,B2B,Business,ACTIVE,2025-04-06,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000084,79202751144,B2B,Mass,ACTIVE,2025-03-23,,Russia,Moscow,Moscow
SUB_0000085,79686083023,B2C_postpaid,Mass,ACTIVE,2024-06-21,2025-03-15,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000086,79171072146,B2B,Business,ACTIVE,2023-12-01,2024-03-03,Russia,Saint Petersburg,Saint Petersburg
SUB_0000087,79088190947,B2C_prepaid,Mass,ACTIVE,2025-06-24,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000088,79806224502,B2C_prepaid,Mass,ACTIVE,2026-06-11,,Russia,Krasnodar Krai,Krasnodar
SUB_0000089,79735495313,B2C_postpaid,Mass,ACTIVE,2023-10-28,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000090,79991628909,B2C_postpaid,Mass,ACTIVE,2025-06-26,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000091,79373573519,B2C_postpaid,Premium,BLOCKED,2026-07-15,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000092,79225092179,B2C_prepaid,Premium,ACTIVE,2026-10-14,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000093,79893931311,B2B,Business,SUSPENDED,2025-04-10,,Russia,Krasnodar Krai,Krasnodar
SUB_0000094,79513617993,B2C_postpaid,Business,ACTIVE,2026-11-15,,Russia,Krasnodar Krai,Krasnodar
SUB_0000095,79143033698,B2C_postpaid,Youth,ACTIVE,2023-07-24,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000096,79770441483,B2C_postpaid,Mass,ACTIVE,2026-09-26,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000097,79700213810,B2C_postpaid,Business,ACTIVE,2026-12-08,,Russia,Moscow,Moscow
SUB_0000098,79181121677,B2C_prepaid,Mass,ACTIVE,2023-10-10,,Russia,Krasnodar Krai,Krasnodar
SUB_0000099,79342661012,B2C_postpaid,Mass,ACTIVE,2025-09-22,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000100,79333104285,B2C_postpaid,Mass,ACTIVE,2025-06-04,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000101,79884584840,B2C_postpaid,Premium,ACTIVE,2026-05-24,,Russia,Krasnodar Krai,Krasnodar
SUB_0000102,79719981494,B2B,Business,ACTIVE,2024-12-10,,Russia,Moscow,Moscow
SUB_0000103,79332487654,B2C_prepaid,Mass,ACTIVE,2024-01-22,,Russia,Krasnodar Krai,Krasnodar
SUB_0000104,79888265414,B2C_postpaid,Youth,ACTIVE,2025-09-18,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000105,79423373886,B2B,Business,ACTIVE,2025-12-24,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000106,79604944530,B2C_prepaid,Premium,ACTIVE,2025-10-04,,Russia,Krasnodar Krai,Krasnodar
SUB_0000107,79820003134,B2B,Mass,ACTIVE,2024-11-07,,Russia,Krasnodar Krai,Krasnodar
SUB_0000108,79853187623,B2C_postpaid,Mass,SUSPENDED,2024-09-26,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000109,79589641182,B2B,Youth,ACTIVE,2025-01-14,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000110,79235650998,B2C_postpaid,Mass,ACTIVE,2024-02-07,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000111,79827821788,B2C_postpaid,Premium,ACTIVE,2024-04-12,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000112,79430751725,B2B,Premium,ACTIVE,2026-05-04,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000113,79477599862,B2C_postpaid,Mass,ACTIVE,2025-05-09,,Russia,Krasnodar Krai,Krasnodar
SUB_0000114,79106564116,B2C_prepaid,Mass,ACTIVE,2024-05-04,2024-10-13,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000115,79891810393,B2C_prepaid,Mass,ACTIVE,2024-06-10,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000116,79714444057,B2C_postpaid,Business,ACTIVE,2026-06-22,,Russia,Moscow,Moscow
SUB_0000117,79831530094,B2C_postpaid,Mass,ACTIVE,2024-03-31,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000118,79198029205,B2C_postpaid,Mass,ACTIVE,2025-08-07,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000119,79018014127,B2C_postpaid,Mass,ACTIVE,2025-11-08,,Russia,Krasnodar Krai,Krasnodar
SUB_0000120,79748562746,B2C_postpaid,Premium,BLOCKED,2025-07-03,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000121,79429306986,B2C_prepaid,Mass,ACTIVE,2024-01-24,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000122,79240102837,B2C_postpaid,Mass,ACTIVE,2024-04-09,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000123,79468081492,B2C_postpaid,Mass,ACTIVE,2024-06-06,2025-07-27,Russia,Moscow,Moscow
SUB_0000124,79945467688,B2C_postpaid,Youth,ACTIVE,2026-03-26,2026-12-21,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000125,79608577298,B2C_postpaid,Mass,ACTIVE,2025-12-03,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000126,79638590618,B2C_postpaid,Premium,ACTIVE,2026-04-02,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000127,79264248484,B2C_prepaid,Mass,ACTIVE,2024-01-27,,Russia,Moscow,Moscow
SUB_0000128,79796856438,B2C_postpaid,Premium,ACTIVE,2026-12-21,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000129,79723892570,B2C_prepaid,Mass,ACTIVE,2025-10-16,2026-10-23,Russia,Saint Petersburg,Saint Petersburg
SUB_0000130,79828137066,B2C_postpaid,Mass,ACTIVE,2026-10-19,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000131,79754597961,B2C_prepaid,Premium,ACTIVE,2026-11-23,,Russia,Krasnodar Krai,Krasnodar
SUB_0000132,79662332816,B2C_postpaid,Premium,ACTIVE,2026-07-26,,Russia,Krasnodar Krai,Krasnodar
SUB_0000133,79623696956,B2C_prepaid,Mass,ACTIVE,2026-03-10,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000134,79401300279,B2C_prepaid,Youth,ACTIVE,2025-02-24,2026-01-27,Russia,Moscow,Moscow
SUB_0000135,79187875277,B2C_postpaid,Mass,SUSPENDED,2025-09-01,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000136,79267889767,B2C_postpaid,Mass,ACTIVE,2024-07-31,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000137,79153451523,B2C_prepaid,Youth,ACTIVE,2025-04-21,,Russia,Krasnodar Krai,Krasnodar
SUB_0000138,79537321054,B2C_prepaid,Mass,ACTIVE,2024-09-09,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000139,79964576132,B2B,Youth,ACTIVE,2023-09-20,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000140,79935298384,B2C_postpaid,Mass,ACTIVE,2026-05-18,2026-09-04,Russia,Saint Petersburg,Saint Petersburg
SUB_0000141,79262682887,B2C_postpaid,Mass,ACTIVE,2024-05-10,2025-07-11,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000142,79075522364,B2C_postpaid,Mass,ACTIVE,2026-12-18,,Russia,Krasnodar Krai,Krasnodar
SUB_0000143,79091730743,B2C_prepaid,Youth,ACTIVE,2024-04-05,,Russia,Krasnodar Krai,Krasnodar
SUB_0000144,79169773955,B2C_prepaid,Mass,ACTIVE,2026-07-05,,Russia,Moscow,Moscow
SUB_0000145,79772981162,B2C_postpaid,Mass,ACTIVE,2023-10-20,,Russia,Krasnodar Krai,Krasnodar
SUB_0000146,79062159362,B2C_prepaid,Mass,ACTIVE,2026-03-22,,Russia,Krasnodar Krai,Krasnodar
SUB_0000147,79158913776,B2C_prepaid,Mass,ACTIVE,2025-05-10,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000148,79351688152,B2C_prepaid,Premium,ACTIVE,2023-08-08,,Russia,Moscow,Moscow
SUB_0000149,79202856138,B2C_postpaid,Mass,ACTIVE,2026-04-22,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000150,79688615419,B2B,Youth,ACTIVE,2026-03-17,,Russia,Moscow,Moscow
SUB_0000151,79222657398,B2C_postpaid,Mass,ACTIVE,2026-06-02,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000152,79533580292,B2C_postpaid,Mass,ACTIVE,2026-03-14,,Russia,Moscow,Moscow
SUB_0000153,79252116864,B2C_prepaid,Mass,ACTIVE,2026-03-08,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000154,79051605021,B2B,Business,ACTIVE,2023-08-08,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000155,79644241576,B2C_prepaid,Mass,ACTIVE,2026-01-14,,Russia,Moscow,Moscow
SUB_0000156,79105968619,B2C_postpaid,Mass,ACTIVE,2024-02-26,2025-03-29,Russia,Saint Petersburg,Saint Petersburg
SUB_0000157,79765305287,B2C_postpaid,Mass,ACTIVE,2026-09-22,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000158,79905520705,B2C_prepaid,Mass,ACTIVE,2025-04-07,,Russia,Moscow,Moscow
SUB_0000159,79525569325,B2C_prepaid,Mass,ACTIVE,2026-03-17,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000160,79318127915,B2C_postpaid,Premium,ACTIVE,2023-10-15,,Russia,Moscow,Moscow
SUB_0000161,79460236794,B2C_prepaid,Youth,SUSPENDED,2023-10-26,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000162,79268205521,B2C_prepaid,Mass,ACTIVE,2024-05-18,2024-12-05,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000163,79420795755,B2C_postpaid,Mass,ACTIVE,2024-08-02,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000164,79410298988,B2C_postpaid,Mass,SUSPENDED,2026-08-27,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000165,79445010696,B2C_prepaid,Mass,SUSPENDED,2026-05-23,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000166,79373513251,B2B,Youth,ACTIVE,2024-08-12,2025-02-11,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000167,79883710940,B2B,Premium,ACTIVE,2025-07-30,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000168,79992250745,B2C_prepaid,Mass,ACTIVE,2024-06-22,,Russia,Moscow,Moscow
SUB_0000169,79063138122,B2B,Business,ACTIVE,2025-11-15,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000170,79211520224,B2C_prepaid,Mass,SUSPENDED,2024-05-02,,Russia,Moscow,Moscow
SUB_0000171,79186534280,B2C_prepaid,Mass,ACTIVE,2024-12-02,,Russia,Moscow,Moscow
SUB_0000172,79235834366,B2C_postpaid,Mass,ACTIVE,2025-02-02,,Russia,Krasnodar Krai,Krasnodar
SUB_0000173,79406498694,B2C_prepaid,Youth,SUSPENDED,2023-12-10,2024-06-03,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000174,79763879754,B2C_postpaid,Mass,ACTIVE,2024-10-23,,Russia,Moscow,Moscow
SUB_0000175,79108503702,B2C_postpaid,Mass,ACTIVE,2025-03-25,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000176,79180683495,B2C_prepaid,Mass,SUSPENDED,2026-07-09,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000177,79633584323,B2C_postpaid,Mass,ACTIVE,2025-06-04,,Russia,Krasnodar Krai,Krasnodar
SUB_0000178,79472775751,B2C_prepaid,Premium,ACTIVE,2025-09-06,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000179,79657662652,B2C_prepaid,Mass,ACTIVE,2024-02-12,,Russia,Krasnodar Krai,Krasnodar
SUB_0000180,79610051127,B2C_prepaid,Youth,ACTIVE,2026-04-06,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000181,79473890704,B2C_postpaid,Mass,ACTIVE,2023-07-26,2024-10-21,Russia,Saint Petersburg,Saint Petersburg
SUB_0000182,79470475946,B2C_prepaid,Mass,ACTIVE,2023-09-25,,Russia,Krasnodar Krai,Krasnodar
SUB_0000183,79618821631,B2C_prepaid,Mass,ACTIVE,2023-07-19,,Russia,Krasnodar Krai,Krasnodar
SUB_0000184,79172463970,B2C_prepaid,Mass,ACTIVE,2024-02-05,2024-08-02,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000185,79416318442,B2C_prepaid,Youth,ACTIVE,2025-06-12,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000186,79581548547,B2C_postpaid,Mass,ACTIVE,2026-12-21,,Russia,Krasnodar Krai,Krasnodar
SUB_0000187,79098167124,B2C_prepaid,Mass,ACTIVE,2023-09-28,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000188,79240586572,B2C_postpaid,Mass,ACTIVE,2024-08-31,,Russia,Moscow,Moscow
SUB_0000189,79059437820,B2C_prepaid,Mass,SUSPENDED,2026-05-29,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000190,79526174163,B2C_postpaid,Mass,ACTIVE,2024-06-06,,Russia,Krasnodar Krai,Krasnodar
SUB_0000191,79655995984,B2C_postpaid,Youth,ACTIVE,2024-11-04,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000192,79929437955,B2B,Business,ACTIVE,2024-09-27,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000193,79989555041,B2C_postpaid,Mass,ACTIVE,2024-12-06,,Russia,Moscow,Moscow
SUB_0000194,79203448780,B2C_prepaid,Youth,ACTIVE,2025-08-20,2025-11-16,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000195,79491778966,B2C_postpaid,Mass,ACTIVE,2026-08-30,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000196,79734552231,B2C_postpaid,Mass,ACTIVE,2025-09-25,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000197,79115461672,B2C_postpaid,Mass,ACTIVE,2026-09-22,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000198,79136713886,B2B,Mass,ACTIVE,2025-08-04,2026-10-10,Russia,Moscow,Moscow
SUB_0000199,79261823834,B2C_postpaid,Mass,ACTIVE,2026-07-24,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000200,79966395202,B2C_prepaid,Youth,ACTIVE,2023-07-18,2024-08-19,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000201,79086239038,B2C_prepaid,Mass,ACTIVE,2026-01-23,,Russia,Moscow,Moscow
SUB_0000202,79533133629,B2C_postpaid,Mass,ACTIVE,2025-08-31,,Russia,Moscow,Moscow
SUB_0000203,79331756864,B2C_prepaid,Mass,ACTIVE,2026-11-21,,Russia,Krasnodar Krai,Krasnodar
SUB_0000204,79158837519,B2B,Business,SUSPENDED,2024-05-19,,Russia,Krasnodar Krai,Krasnodar
SUB_0000205,79810399378,B2C_postpaid,Youth,ACTIVE,2024-07-19,2024-12-20,Russia,Moscow,Moscow
SUB_0000206,79652007184,B2C_prepaid,Youth,ACTIVE,2026-02-25,2026-08-02,Russia,Saint Petersburg,Saint Petersburg
SUB_0000207,79999262219,B2C_postpaid,Mass,ACTIVE,2026-01-23,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000208,79687395567,B2C_prepaid,Mass,ACTIVE,2023-09-25,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000209,79037914872,B2C_prepaid,Mass,SUSPENDED,2026-05-24,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000210,79515853304,B2C_postpaid,Premium,ACTIVE,2024-01-01,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000211,79760779615,B2C_prepaid,Mass,ACTIVE,2024-05-03,2024-09-14,Russia,Saint Petersburg,Saint Petersburg
SUB_0000212,79374611262,B2C_postpaid,Mass,ACTIVE,2023-07-12,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000213,79644608268,B2C_prepaid,Mass,ACTIVE,2025-06-14,2026-10-24,Russia,Moscow,Moscow
SUB_0000214,79019126655,B2B,Business,ACTIVE,2023-09-12,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000215,79304521625,B2C_postpaid,Mass,ACTIVE,2024-02-09,,Russia,Krasnodar Krai,Krasnodar
SUB_0000216,79699263593,B2C_postpaid,Mass,ACTIVE,2026-04-15,,Russia,Saint Petersburg,Saint Petersburg
SUB_0000217,79900618794,B2C_postpaid,Mass,ACTIVE,2023-07-24,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000218,79353063760,B2C_prepaid,Mass,ACTIVE,2026-03-08,,Russia,Moscow,Moscow
SUB_0000219,79685374782,B2C_prepaid,Youth,ACTIVE,2024-08-30,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000220,79183351611,B2C_prepaid,Premium,ACTIVE,2023-09-03,,Russia,Moscow,Moscow
SUB_0000221,79383513020,B2C_postpaid,Mass,SUSPENDED,2024-05-11,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000222,79188961747,B2C_prepaid,Mass,SUSPENDED,2026-10-30,,Russia,Novosibirsk Oblast,Novosibirsk
